"trait","label","h2","acc"
"yd18","yield",0.716765362006719,0.61019450644223
"sw18","seed weight",0.831971140996547,0.734826256630743
"dm18","days to maturity",0.800634947952948,0.584244146473591
"df18","days to flowering",0.700090877819134,0.460987447739384
"app18","appearance",0.836706695753731,0.636176878620859
"text18","texture",0.796324829789434,0.57328399776489
"col18","color",0.880045399220141,0.754955016664229
"l18","L*",0.830030065811155,0.788722326849688
"a18","a*",0.916731827654719,0.720972272058841
"b18","b*",0.922462109514281,0.771341989570271
